name,tag,link
Mars Infiniti,Boys Casual T-shirt Shorts,https://www.flipkart.com/mars-infiniti-boys-casual-t-shirt-shorts/p/itmba98f4be33345?pid=KPBGG9ZEGGZZDGPV&lid=LSTKPBGG9ZEGGZZDGPVBVBFCR&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_30&otracker=search&otracker1=search&fm=organic&iid=6edb3da1-9e04-4e71-8945-4a4135a09b44.KPBGG9ZEGGZZDGPV.SEARCH&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
Pink Formal,"Pack of 2 Men Solid Blue, Grey Track Pants",https://www.flipkart.com/pink-formal-solid-men-blue-grey-track-pants/p/itmffd7d531769af?pid=TKPGMT5XNWS6CKQH&lid=LSTTKPGMT5XNWS6CKQHPYNDH8&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_31&otracker=search&otracker1=search&fm=organic&iid=en_ElH2eZeyEiit4vctZfp2vOAakFaaFec3oxy5Yb4tGKazxSRT54NNTcR2quM9lQbcwuAU1fxfG_DGU3u9In_xFw%3D%3D&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
DISNEY BY MISS & CHIEF,Boys Typography Cotton Blend T Shirt,https://www.flipkart.com/disney-miss-chief-boys-typography-cotton-blend-t-shirt/p/itmc6911a2332c37?pid=KTBGGZ6QYKT8PRMH&lid=LSTKTBGGZ6QYKT8PRMHZDVIBS&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_32&otracker=search&otracker1=search&fm=organic&iid=en_ElH2eZeyEiit4vctZfp2vOAakFaaFec3oxy5Yb4tGKYSq8ba6VG2yVeM34Hge5Ys-oN1f8u2xiKW_INsiJGq4g%3D%3D&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
VeBNoR,Men Regular Fit Solid Mandarin Collar Casual Shirt,https://www.flipkart.com/vebnor-men-solid-casual-light-blue-shirt/p/itmeb5c693b2cbd0?pid=SHTFVC7FT9YH8QQJ&lid=LSTSHTFVC7FT9YH8QQJEJBIT6&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_33&otracker=search&otracker1=search&fm=organic&iid=6edb3da1-9e04-4e71-8945-4a4135a09b44.SHTFVC7FT9YH8QQJ.SEARCH&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
VeBNoR,"Pack of 2 Men Solid Black, Grey Track Pants",https://www.flipkart.com/vebnor-solid-men-black-grey-track-pants/p/itmea1098f6f1b58?pid=TKPGCGFAHPY4UEXJ&lid=LSTTKPGCGFAHPY4UEXJGC6PU5&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_34&otracker=search&otracker1=search&fm=organic&iid=6edb3da1-9e04-4e71-8945-4a4135a09b44.TKPGCGFAHPY4UEXJ.SEARCH&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
Solbiza,Men Regular Fit Striped Slim Collar Casual Shirt,https://www.flipkart.com/solbiza-men-striped-casual-multicolor-shirt/p/itm70f7292286255?pid=SHTGZYASGXTCJRC7&lid=LSTSHTGZYASGXTCJRC76O6TYT&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_35&otracker=search&otracker1=search&fm=organic&iid=6edb3da1-9e04-4e71-8945-4a4135a09b44.SHTGZYASGXTCJRC7.SEARCH&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
VeBNoR,Men Regular Fit Printed Spread Collar Casual Shirt,https://www.flipkart.com/vebnor-men-printed-casual-black-shirt/p/itm0f2aa6f5d945e?pid=SHTGNEDY4HTUHHNW&lid=LSTSHTGNEDY4HTUHHNWGY7ODM&marketplace=FLIPKART&q=clothing&store=clo&spotlightTagId=BestsellerId_clo&srno=s_1_36&otracker=search&otracker1=search&fm=organic&iid=6edb3da1-9e04-4e71-8945-4a4135a09b44.SHTGNEDY4HTUHHNW.SEARCH&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
HIGHLANDER,Men Slim Fit Black Cotton Blend Trousers,https://www.flipkart.com/highlander-slim-fit-men-black-trousers/p/itmfdfd8pcyjf6kh?pid=TROFYZZZYHXEYGA3&lid=LSTTROFYZZZYHXEYGA350TKEC&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_37&otracker=search&otracker1=search&fm=organic&iid=en_ElH2eZeyEiit4vctZfp2vOAakFaaFec3oxy5Yb4tGKZNPIND2LNTZknmsQvyBwOux0Ca0l-xKrM2OjX3BZGOzA%3D%3D&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
TQH,"Pack of 2 Men Solid Round Neck Polyester Green, Black T...",https://www.flipkart.com/tqh-solid-men-round-neck-green-black-t-shirt/p/itm6d2c4e438dbbf?pid=TSHGDYZFTRFQY9KB&lid=LSTTSHGDYZFTRFQY9KB4RZJGQ&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_38&otracker=search&otracker1=search&fm=organic&iid=en_ElH2eZeyEiit4vctZfp2vOAakFaaFec3oxy5Yb4tGKY5WtV6dNi7azLML27YtL9BaQo3zgR5fUprNJWktzV1_Q%3D%3D&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
TRIPR,Men Printed Round Neck Cotton Blend Dark Green T-Shirt,https://www.flipkart.com/tripr-printed-men-round-neck-dark-green-t-shirt/p/itmb1988e4b6598a?pid=TSHGBJCGG73P53ZN&lid=LSTTSHGBJCGG73P53ZND42HMO&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_39&otracker=search&otracker1=search&fm=organic&iid=6edb3da1-9e04-4e71-8945-4a4135a09b44.TSHGBJCGG73P53ZN.SEARCH&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
TQH,TQH Men Dri Fit Polyester Half Sleeve Round Neck White ...,https://www.flipkart.com/tqh-solid-men-round-neck-white-t-shirt/p/itm7351bd9a4f29f?pid=TSHFKYCDDVBV3EGB&lid=LSTTSHFKYCDDVBV3EGBA9STW6&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=6edb3da1-9e04-4e71-8945-4a4135a09b44.TSHFKYCDDVBV3EGB.SEARCH&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
