name,tag,link
x2o,Short For Boys & Girls Casual Printed Cotton Blend,https://www.flipkart.com/x2o-short-boys-girls-casual-printed-cotton-blend/p/itmf8cfc2faf9b5d?pid=KSHG6FTVFRURHHGU&lid=LSTKSHG6FTVFRURHHGUYWEIRQ&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=en_s5Y8usSabH0xpwmKbv3thWn9IiPzn_3DKKKXd-HRCPXZBxmB5wWzVHhsHDGajjXFantKC_koVFSflFQuSK1r4Q%3D%3D&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
HIGHLANDER,Men Slim Fit Solid Cut Away Collar Casual Shirt,https://www.flipkart.com/highlander-men-solid-casual-maroon-shirt/p/itm1bb7675611bb5?pid=SHTGG9TM964MC7RH&lid=LSTSHTGG9TM964MC7RHNHFULW&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=en_s5Y8usSabH0xpwmKbv3thWn9IiPzn_3DKKKXd-HRCPV51gnsU3ksk-f-DXz8z15H2vC_oTYRoSSjPax-sMEqdQ%3D%3D&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
VeBNoR,Men Regular Fit Checkered Spread Collar Casual Shirt,https://www.flipkart.com/vebnor-men-checkered-casual-blue-shirt/p/itm53f817f9f36da?pid=SHTGRVGYEZ8TG2D2&lid=LSTSHTGRVGYEZ8TG2D2RCZ2DH&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=f7456580-5af9-4dfa-8fd0-442efcbde6e7.SHTGRVGYEZ8TG2D2.SEARCH&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
VeBNoR,Men Checkered Round Neck Poly Cotton Blue T-Shirt,https://www.flipkart.com/vebnor-checkered-men-round-neck-blue-t-shirt/p/itma710e2db5402e?pid=TSHGHXV9AUUFUHZV&lid=LSTTSHGHXV9AUUFUHZV1U3CZJ&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=f7456580-5af9-4dfa-8fd0-442efcbde6e7.TSHGHXV9AUUFUHZV.SEARCH&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
VeBNoR,Men Regular Fit Printed Spread Collar Casual Shirt,https://www.flipkart.com/vebnor-men-printed-casual-blue-shirt/p/itm8c0286244db2e?pid=SHTGJMJFDGMKEFDW&lid=LSTSHTGJMJFDGMKEFDWMHECOU&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_25&otracker=search&otracker1=search&fm=organic&iid=f7456580-5af9-4dfa-8fd0-442efcbde6e7.SHTGJMJFDGMKEFDW.SEARCH&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
Surhi,Men Slim Fit Checkered Spread Collar Casual Shirt,https://www.flipkart.com/surhi-men-checkered-casual-grey-shirt/p/itm0f168b89ba37a?pid=SHTFT97HQAMTKYJE&lid=LSTSHTFT97HQAMTKYJE32E0KC&marketplace=FLIPKART&q=clothing&store=clo&spotlightTagId=BestsellerId_clo&srno=s_1_26&otracker=search&otracker1=search&fm=organic&iid=f7456580-5af9-4dfa-8fd0-442efcbde6e7.SHTFT97HQAMTKYJE.SEARCH&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
4 SPEED,Men Striped Multicolor Track Pants,https://www.flipkart.com/4-speed-striped-men-multicolor-track-pants/p/itma9002da9f34fe?pid=TKPGCHRGM4HV4HN8&lid=LSTTKPGCHRGM4HV4HN8HGRF67&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_27&otracker=search&otracker1=search&fm=organic&iid=en_s5Y8usSabH0xpwmKbv3thWn9IiPzn_3DKKKXd-HRCPX-HLLwT4zPE809XEvwnPWoGKGF9P_2XaUdKUTTS0iDwQ%3D%3D&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
Glazer,Pack of 5 Men Solid Beige Track Pants,https://www.flipkart.com/glazer-solid-men-beige-track-pants/p/itmfe6a5cd026b89?pid=TKPG6JQSWKPPHF6W&lid=LSTTKPG6JQSWKPPHF6WCTAZS5&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_28&otracker=search&otracker1=search&fm=organic&iid=en_s5Y8usSabH0xpwmKbv3thWn9IiPzn_3DKKKXd-HRCPVdUehTan8svf5xUO5uz7m8VdMH2wC9F036HVSlSxgPmw%3D%3D&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
3BROS,Men Solid Polo Neck Cotton Blend (220 gsm) Green T-Shir...,https://www.flipkart.com/3bros-solid-men-polo-neck-green-t-shirt/p/itm7e860cbd6041c?pid=TSHGBAWVBDGYWHZZ&lid=LSTTSHGBAWVBDGYWHZZWURTTB&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_29&otracker=search&otracker1=search&fm=organic&iid=f7456580-5af9-4dfa-8fd0-442efcbde6e7.TSHGBAWVBDGYWHZZ.SEARCH&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
VeBNoR,Men Regular Fit Solid Spread Collar Casual Shirt,https://www.flipkart.com/vebnor-men-solid-casual-grey-shirt/p/itmfbb7c9d433df3?pid=SHTFZFTGEHZFXB3D&lid=LSTSHTFZFTGEHZFXB3D2BBWXN&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_30&otracker=search&otracker1=search&fm=organic&iid=f7456580-5af9-4dfa-8fd0-442efcbde6e7.SHTFZFTGEHZFXB3D.SEARCH&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
SmartRAHO,Boys Printed Cotton Blend T Shirt,https://www.flipkart.com/smartraho-boys-printed-cotton-blend-t-shirt/p/itme8c5b81ebd953?pid=KTBGYEF6FQEFZCFR&lid=LSTKTBGYEF6FQEFZCFRNSWKDA&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_31&otracker=search&otracker1=search&fm=organic&iid=en_s5Y8usSabH0xpwmKbv3thWn9IiPzn_3DKKKXd-HRCPWmjPmRLRh98VFZVUY8HvrkFbjNm7jXj53seUA-nLb9DQ%3D%3D&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
HIGHLANDER,Men Tapered Fit Mid Rise Grey Jeans,https://www.flipkart.com/highlander-tapered-fit-men-grey-jeans/p/itmb142265417121?pid=JEAGFFUMCPEQYG8Y&lid=LSTJEAGFFUMCPEQYG8YBCEINI&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_32&otracker=search&otracker1=search&fm=organic&iid=en_s5Y8usSabH0xpwmKbv3thWn9IiPzn_3DKKKXd-HRCPWm32wyqGHOwlrS1WBlvxV0X-7I1D3QdzaPuYvNnO6JNg%3D%3D&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
TRIPR,"Pack of 2 Men Printed Black, Grey Track Pants",https://www.flipkart.com/tripr-printed-men-black-grey-track-pants/p/itm0792615c9d9bf?pid=TKPGMENQGSJ9MVYX&lid=LSTTKPGMENQGSJ9MVYXTKVQCK&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_33&otracker=search&otracker1=search&fm=organic&iid=f7456580-5af9-4dfa-8fd0-442efcbde6e7.TKPGMENQGSJ9MVYX.SEARCH&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
Foxter,Pack of 2 Men Striped Multicolor Track Pants,https://www.flipkart.com/foxter-striped-men-multicolor-track-pants/p/itm818e550f28f86?pid=TKPGJXR9VSNYJBTR&lid=LSTTKPGJXR9VSNYJBTRV0TYAE&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_34&otracker=search&otracker1=search&fm=organic&iid=f7456580-5af9-4dfa-8fd0-442efcbde6e7.TKPGJXR9VSNYJBTR.SEARCH&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
Mars Infiniti,Boys Casual T-shirt Shorts,https://www.flipkart.com/mars-infiniti-boys-casual-t-shirt-shorts/p/itmba98f4be33345?pid=KPBGG9ZEVZFKPG3Y&lid=LSTKPBGG9ZEVZFKPG3Y3MX2NG&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_35&otracker=search&otracker1=search&fm=organic&iid=f7456580-5af9-4dfa-8fd0-442efcbde6e7.KPBGG9ZEVZFKPG3Y.SEARCH&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
VeBNoR,Men Regular Fit Solid Mandarin Collar Casual Shirt,https://www.flipkart.com/vebnor-men-solid-casual-light-blue-shirt/p/itmeb5c693b2cbd0?pid=SHTFVC7FT9YH8QQJ&lid=LSTSHTFVC7FT9YH8QQJEJBIT6&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_36&otracker=search&otracker1=search&fm=organic&iid=f7456580-5af9-4dfa-8fd0-442efcbde6e7.SHTFVC7FT9YH8QQJ.SEARCH&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
4 SPEED,Men Striped Grey Track Pants,https://www.flipkart.com/4-speed-striped-men-grey-track-pants/p/itm9e1c920b543d4?pid=TKPGCHRGEVWMDRZJ&lid=LSTTKPGCHRGEVWMDRZJGH2FIS&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_37&otracker=search&otracker1=search&fm=organic&iid=en_s5Y8usSabH0xpwmKbv3thWn9IiPzn_3DKKKXd-HRCPVDweLtzwzVwH7Fyxrc-JTTJXV6svviDYZlgCOJ3neLvw%3D%3D&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
Pink Formal,"Pack of 2 Men Solid Blue, Grey Track Pants",https://www.flipkart.com/pink-formal-solid-men-blue-grey-track-pants/p/itmffd7d531769af?pid=TKPGMT5XNWS6CKQH&lid=LSTTKPGMT5XNWS6CKQHPYNDH8&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_38&otracker=search&otracker1=search&fm=organic&iid=en_s5Y8usSabH0xpwmKbv3thWn9IiPzn_3DKKKXd-HRCPUK3bcncPERz0751lvhXS_5wuAU1fxfG_DGU3u9In_xFw%3D%3D&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
VeBNoR,"Pack of 2 Men Solid Black, Grey Track Pants",https://www.flipkart.com/vebnor-solid-men-black-grey-track-pants/p/itmea1098f6f1b58?pid=TKPGCG3CXCWD5NZH&lid=LSTTKPGCG3CXCWD5NZHQEYMVY&marketplace=FLIPKART&q=clothing&store=clo&spotlightTagId=BestsellerId_clo&srno=s_1_39&otracker=search&otracker1=search&fm=organic&iid=f7456580-5af9-4dfa-8fd0-442efcbde6e7.TKPGCG3CXCWD5NZH.SEARCH&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
Solbiza,Men Regular Fit Striped Slim Collar Casual Shirt,https://www.flipkart.com/solbiza-men-striped-casual-multicolor-shirt/p/itm70f7292286255?pid=SHTGZYASGXTCJRC7&lid=LSTSHTGZYASGXTCJRC76O6TYT&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=f7456580-5af9-4dfa-8fd0-442efcbde6e7.SHTGZYASGXTCJRC7.SEARCH&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
HIGHLANDER,Men Slim Fit Green Viscose Rayon Trousers,https://www.flipkart.com/highlander-slim-fit-men-green-trousers/p/itm63007763148bc?pid=TROG5H97JC7G8TWT&lid=LSTTROG5H97JC7G8TWTS5P9LD&marketplace=FLIPKART&q=clothing&store=clo&srno=s_2_41&otracker=search&otracker1=search&fm=organic&iid=en_cu7X7MP5t1FS1j2MQn9CxN3rcko2VxWrOasbd8OiOV3aIQYQ2k-Xa9p3UTZXxg8NB-sk6R4JIFLfvWbsLatvFA%3D%3D&ppt=None&ppn=None&ssid=boelrqufc00000001692034838047&qH=50cf19912960f654
HIGHLANDER,Men Slim Fit Printed Cut Away Collar Casual Shirt,https://www.flipkart.com/highlander-men-printed-casual-blue-shirt/p/itmfef6db1dbb4e3?pid=SHTGGKZWYTMGTHZC&lid=LSTSHTGGKZWYTMGTHZCX8NVH0&marketplace=FLIPKART&q=clothing&store=clo&srno=s_2_42&otracker=search&otracker1=search&fm=organic&iid=en_cu7X7MP5t1FS1j2MQn9CxN3rcko2VxWrOasbd8OiOV240DcxxucwSwa0kXJhq5ap0vpIW39Swwe1sfzUoTFPkw%3D%3D&ppt=None&ppn=None&ssid=boelrqufc00000001692034838047&qH=50cf19912960f654
3BROS,Men Solid Polo Neck Cotton Blend (220 gsm) Maroon T-Shi...,https://www.flipkart.com/3bros-solid-men-polo-neck-maroon-t-shirt/p/itmd69f18a0ca1ab?pid=TSHGBAWVECSEPTPA&lid=LSTTSHGBAWVECSEPTPACOYFGL&marketplace=FLIPKART&q=clothing&store=clo&srno=s_2_43&otracker=search&otracker1=search&fm=organic&iid=9e15b0fc-3d7a-4fa6-8405-cff764ea1e9d.TSHGBAWVECSEPTPA.SEARCH&ppt=None&ppn=None&ssid=boelrqufc00000001692034838047&qH=50cf19912960f654
Fasla,"Short For Boys Casual Printed, Solid Pure Cotton",https://www.flipkart.com/fasla-short-boys-casual-printed-solid-pure-cotton/p/itm1f84d2e7ad7f3?pid=KSHFUJPZZNRCTZKF&lid=LSTKSHFUJPZZNRCTZKFTRBI3C&marketplace=FLIPKART&q=clothing&store=clo&srno=s_2_44&otracker=search&otracker1=search&fm=organic&iid=9e15b0fc-3d7a-4fa6-8405-cff764ea1e9d.KSHFUJPZZNRCTZKF.SEARCH&ppt=None&ppn=None&ssid=boelrqufc00000001692034838047&qH=50cf19912960f654
N AND J,Men Slim Fit Printed Spread Collar Casual Shirt,https://www.flipkart.com/n-j-men-printed-casual-brown-shirt/p/itm0a35bec14923c?pid=SHTGCWMSU6FVFWPF&lid=LSTSHTGCWMSU6FVFWPF7CVBCT&marketplace=FLIPKART&q=clothing&store=clo&srno=s_2_45&otracker=search&otracker1=search&fm=organic&iid=9e15b0fc-3d7a-4fa6-8405-cff764ea1e9d.SHTGCWMSU6FVFWPF.SEARCH&ppt=None&ppn=None&ssid=boelrqufc00000001692034838047&qH=50cf19912960f654
Surhi,Men Regular Fit Checkered Spread Collar Casual Shirt,https://www.flipkart.com/surhi-men-checkered-casual-grey-shirt/p/itm371e267caab8a?pid=SHTGAHWHT7SRGKZG&lid=LSTSHTGAHWHT7SRGKZGX2FJJK&marketplace=FLIPKART&q=clothing&store=clo&srno=s_2_46&otracker=search&otracker1=search&fm=organic&iid=9e15b0fc-3d7a-4fa6-8405-cff764ea1e9d.SHTGAHWHT7SRGKZG.SEARCH&ppt=None&ppn=None&ssid=boelrqufc00000001692034838047&qH=50cf19912960f654
HIGHLANDER,Men Slim Fit Checkered Cut Away Collar Casual Shirt,https://www.flipkart.com/highlander-men-checkered-casual-multicolor-shirt/p/itm683710cc4ba0c?pid=SHTG7KCJ8ZCYHVJ8&lid=LSTSHTG7KCJ8ZCYHVJ8BII3IW&marketplace=FLIPKART&q=clothing&store=clo&srno=s_2_47&otracker=search&otracker1=search&fm=organic&iid=en_cu7X7MP5t1FS1j2MQn9CxN3rcko2VxWrOasbd8OiOV2XZnazon2Utno0l9tnhLvsYTcjVHqDQ_dhp4PCF9RetQ%3D%3D&ppt=None&ppn=None&ssid=boelrqufc00000001692034838047&qH=50cf19912960f654
