name,tag,link
VeBNoR,Men Regular Fit Checkered Spread Collar Casual Shirt,https://www.flipkart.com/vebnor-men-checkered-casual-blue-shirt/p/itm53f817f9f36da?pid=SHTGRVFY5CE38EGC&lid=LSTSHTGRVFY5CE38EGC7P9BMK&marketplace=FLIPKART&store=clo&srno=b_1_23&otracker=browse&fm=organic&iid=5a68d801-7d4f-48ed-936b-02f53e15234c.SHTGRVFY5CE38EGC.SEARCH&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
AUSK,"Men Striped Round Neck Cotton Blend Dark Green, Black T...",https://www.flipkart.com/ausk-striped-men-round-neck-dark-green-black-t-shirt/p/itm90a09f07ca482?pid=TSHGQ9TFFQ4G2K5G&lid=LSTTSHGQ9TFFQ4G2K5GUTLN4Q&marketplace=FLIPKART&store=clo&srno=b_1_24&otracker=browse&fm=organic&iid=5a68d801-7d4f-48ed-936b-02f53e15234c.TSHGQ9TFFQ4G2K5G.SEARCH&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
DealSeven fashion,Women Shapewear,https://www.flipkart.com/dealseven-fashion-women-shapewear/p/itma5fe39150d795?pid=SPWG482SMAEKQFAR&lid=LSTSPWG482SMAEKQFAR8M4CZ2&marketplace=FLIPKART&store=clo&srno=b_1_25&otracker=browse&fm=organic&iid=5a68d801-7d4f-48ed-936b-02f53e15234c.SPWG482SMAEKQFAR.SEARCH&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
Lieo Trend,Men Printed Round Neck Cotton Blend Light Blue T-Shirt,https://www.flipkart.com/lieo-trend-printed-men-round-neck-light-blue-t-shirt/p/itm3f329fc28b3a7?pid=TSHGKC7AQWXA6FBH&lid=LSTTSHGKC7AQWXA6FBHL8GIME&marketplace=FLIPKART&store=clo&srno=b_1_26&otracker=browse&fm=organic&iid=5a68d801-7d4f-48ed-936b-02f53e15234c.TSHGKC7AQWXA6FBH.SEARCH&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
HSR,Women Shapewear,https://www.flipkart.com/hsr-women-shapewear/p/itmdbf2f88d60d2d?pid=SPWG3KTAE5TGDWZ6&lid=LSTSPWG3KTAE5TGDWZ67JEUZR&marketplace=FLIPKART&store=clo&srno=b_1_27&otracker=browse&fm=organic&iid=en_R3zlbbM3afx4NzVf_CWknrRfJiVCokuLHOJvbZ4Akcy0cPEXC9e1YP-sxUXleQe5WFdKdGnTs5yPf0hJyXJ34A%3D%3D&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
MANCREW,Men Regular Fit Black Cotton Blend Trousers,https://www.flipkart.com/mancrew-regular-fit-men-black-trousers/p/itma419118aeb188?pid=TROG22B8XRGAVKHH&lid=LSTTROG22B8XRGAVKHHMDMMTY&marketplace=FLIPKART&store=clo&srno=b_1_28&otracker=browse&fm=organic&iid=en_R3zlbbM3afx4NzVf_CWknrRfJiVCokuLHOJvbZ4Akcwo3EhlwGPbvt2MyfO4QYB06cOtuyT4XNLGyymbZcmdiA%3D%3D&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
Allen Solly,Men Solid Polo Neck Pure Cotton Black T-Shirt,https://www.flipkart.com/allen-solly-solid-men-polo-neck-black-t-shirt/p/itm2100d56fc5456?pid=TSHGDHWHRWGSRDHP&lid=LSTTSHGDHWHRWGSRDHPZALKXT&marketplace=FLIPKART&store=clo&srno=b_1_29&otracker=browse&fm=organic&iid=5a68d801-7d4f-48ed-936b-02f53e15234c.TSHGDHWHRWGSRDHP.SEARCH&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
COMBRAIDED,Men Slim Fit Silver Lycra Blend Trousers,https://www.flipkart.com/combraided-slim-fit-men-silver-trousers/p/itmdf71586d64e4f?pid=TROGMNJZDUTVF97D&lid=LSTTROGMNJZDUTVF97DJDL7XH&marketplace=FLIPKART&store=clo&srno=b_1_30&otracker=browse&fm=organic&iid=5a68d801-7d4f-48ed-936b-02f53e15234c.TROGMNJZDUTVF97D.SEARCH&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
Releep Fashion,Women Shapewear,https://www.flipkart.com/releep-fashion-women-shapewear/p/itme7090626e7028?pid=SPWGZFTRZVHGYKWE&lid=LSTSPWGZFTRZVHGYKWEMHPARH&marketplace=FLIPKART&store=clo&srno=b_1_31&otracker=browse&fm=organic&iid=en_R3zlbbM3afx4NzVf_CWknrRfJiVCokuLHOJvbZ4Akcw-tGBbRRpgdPKfnrYnjSHndlI2MtwLlMRaFOfjzuRHiA%3D%3D&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
HSR,Women Shapewear,https://www.flipkart.com/hsr-women-shapewear/p/itm6a27d078dee20?pid=SPWG3ZCUYU7ZKEPD&lid=LSTSPWG3ZCUYU7ZKEPDKPUO50&marketplace=FLIPKART&store=clo&srno=b_1_32&otracker=browse&fm=organic&iid=en_R3zlbbM3afx4NzVf_CWknrRfJiVCokuLHOJvbZ4Akcxk_C1z8iKtR9wm1Hju3Uj6SMR3pMO7pXmBddswPuQQGQ%3D%3D&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
NB NICKY BOY,Nikky Men Printed Round Neck Cotton Blend Black T-Shirt,https://www.flipkart.com/nb-nicky-boy-printed-men-round-neck-black-t-shirt/p/itm8cd9c96a67f21?pid=TSHGC74BRSQZQQPP&lid=LSTTSHGC74BRSQZQQPPZQRTGJ&marketplace=FLIPKART&store=clo&srno=b_1_33&otracker=browse&fm=organic&iid=5a68d801-7d4f-48ed-936b-02f53e15234c.TSHGC74BRSQZQQPP.SEARCH&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
Lux Venus,Pack of 4 Men Vest,https://www.flipkart.com/lux-venus-men-vest/p/itmf3zd3m6p6bzmt?pid=VESEXS4HD7FKHZZZ&lid=LSTVESEXS4HD7FKHZZZNWNVSN&marketplace=FLIPKART&store=clo&srno=b_1_34&otracker=browse&fm=organic&iid=5a68d801-7d4f-48ed-936b-02f53e15234c.VESEXS4HD7FKHZZZ.SEARCH&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
TRIPR,Pack of 2 Men Vest,https://www.flipkart.com/tripr-men-vest/p/itmfe9122907c55a?pid=VESFSB7QJ2QXWEHS&lid=LSTVESFSB7QJ2QXWEHSNLAJPS&marketplace=FLIPKART&store=clo&srno=b_1_35&otracker=browse&fm=organic&iid=5a68d801-7d4f-48ed-936b-02f53e15234c.VESFSB7QJ2QXWEHS.SEARCH&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
krijo,Men Solid Ankle Length,https://www.flipkart.com/krijo-men-solid-ankle-length/p/itm6b6329bf9b1d9?pid=SOCGGCPYJZP7YHUG&lid=LSTSOCGGCPYJZP7YHUGV9GVEL&marketplace=FLIPKART&store=clo&srno=b_1_36&otracker=browse&fm=organic&iid=5a68d801-7d4f-48ed-936b-02f53e15234c.SOCGGCPYJZP7YHUG.SEARCH&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
BEING WANTED,Men Solid Round Neck Pure Cotton White T-Shirt,https://www.flipkart.com/being-wanted-solid-men-round-neck-white-t-shirt/p/itm41ee06fc1ceba?pid=TSHGZJFZKAJSW8N9&lid=LSTTSHGZJFZKAJSW8N9W1LYDW&marketplace=FLIPKART&store=clo&srno=b_1_37&otracker=browse&fm=organic&iid=en_R3zlbbM3afx4NzVf_CWknrRfJiVCokuLHOJvbZ4Akcx9TmaxL2BAncM0I0VOJrJkx0e-OBivWo8x4449nu7rog%3D%3D&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
MAYUR CLOTHING,Pack of 2 Men Graphic Print Round Neck Cotton Blend Bla...,https://www.flipkart.com/mayur-clothing-graphic-print-men-round-neck-black-maroon-t-shirt/p/itm6fdb54d4dbce4?pid=TSHGNJZ5FEJJQGRP&lid=LSTTSHGNJZ5FEJJQGRPESQKAM&marketplace=FLIPKART&store=clo&srno=b_1_38&otracker=browse&fm=organic&iid=en_R3zlbbM3afx4NzVf_CWknrRfJiVCokuLHOJvbZ4AkcygxeKlfCmwjjC-ugln7lcT0f-xSrnNqF7E3P2pPt4jiw%3D%3D&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
Winget,Men & Women Striped Ankle Length,https://www.flipkart.com/winget-men-women-striped-ankle-length/p/itm3863fd9ccf898?pid=SOCGG8Z6ZKXGWK4Y&lid=LSTSOCGG8Z6ZKXGWK4YVEXIXE&marketplace=FLIPKART&store=clo&srno=b_1_39&otracker=browse&fm=organic&iid=5a68d801-7d4f-48ed-936b-02f53e15234c.SOCGG8Z6ZKXGWK4Y.SEARCH&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
AUSK,"Men Striped Round Neck Cotton Blend Blue, Yellow T-Shir...",https://www.flipkart.com/ausk-striped-men-round-neck-blue-yellow-t-shirt/p/itmd31de79d43f6b?pid=TSHGQAJZTHG9FBUJ&lid=LSTTSHGQAJZTHG9FBUJ6XW1DG&marketplace=FLIPKART&store=clo&srno=b_1_40&otracker=browse&fm=organic&iid=5a68d801-7d4f-48ed-936b-02f53e15234c.TSHGQAJZTHG9FBUJ.SEARCH&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
KANSAL,Pack of 5 Women Hipster Multicolor Panty,https://www.flipkart.com/kansal-women-hipster-multicolor-panty/p/itm5111021360ecb?pid=PANG5RZMARDYBHRK&lid=LSTPANG5RZMARDYBHRK1VZ96T&marketplace=FLIPKART&store=clo&srno=b_2_41&otracker=browse&fm=organic&iid=en_2Nv4-Z-swdY_Kf5vcfXVI-d7mNP2HTI_96Otv7CUm7z4KcNEPuW8-wXJd4hcRKbfoOUYFa0LBxEs7oUQqzQRiQ%3D%3D&ppt=None&ppn=None&ssid=58zxmudbio0000001692044134914
krijo,"Men Solid, Self Design Ankle Length",https://www.flipkart.com/krijo-men-solid-self-design-ankle-length/p/itm646bba0e903f9?pid=SOCGFSZKWSM6Z35J&lid=LSTSOCGFSZKWSM6Z35J8XHLH4&marketplace=FLIPKART&store=clo&srno=b_2_42&otracker=browse&fm=organic&iid=en_2Nv4-Z-swdY_Kf5vcfXVI-d7mNP2HTI_96Otv7CUm7yRK6m1ksPw84o6E2izWqWrF_-mXkG0Oe-uYFvsUXIkFg%3D%3D&ppt=None&ppn=None&ssid=58zxmudbio0000001692044134914
Surhi,Men Slim Fit Checkered Spread Collar Casual Shirt,https://www.flipkart.com/surhi-men-checkered-casual-grey-shirt/p/itm0f168b89ba37a?pid=SHTFT97H39WTBVFB&lid=LSTSHTFT97H39WTBVFBNMIQYH&marketplace=FLIPKART&store=clo&srno=b_2_43&otracker=browse&fm=organic&iid=72be8f86-6147-4509-b617-75600c3b6d7b.SHTFT97H39WTBVFB.SEARCH&ppt=None&ppn=None&ssid=58zxmudbio0000001692044134914
3BROS,Men Solid Polo Neck Cotton Blend (220 gsm) Green T-Shir...,https://www.flipkart.com/3bros-solid-men-polo-neck-green-t-shirt/p/itm7e860cbd6041c?pid=TSHGBAWVBDGYWHZZ&lid=LSTTSHGBAWVBDGYWHZZWURTTB&marketplace=FLIPKART&store=clo&srno=b_2_44&otracker=browse&fm=organic&iid=72be8f86-6147-4509-b617-75600c3b6d7b.TSHGBAWVBDGYWHZZ.SEARCH&ppt=None&ppn=None&ssid=58zxmudbio0000001692044134914
